"id","subc_id","elev_min","elev_max","elev_mean","elev_sd","flowpos_min","flowpos_max","flowpos_mean","flowpos_sd","strahler","length","cum_length","out_dist","spi_min","spi_max","spi_mean","spi_sd","sti_min","sti_max","sti_mean","sti_sd","cti_min","cti_max","cti_mean","cti_sd"
4058501821,507094152,4.1,6,5.1265,0.6697,0.0052,292.3902,69.0961,122.4431,6,776.0624,53416.844,189893.36,0,4180,883.2245,1579.0417,0,76,12.1633,22.7465,-137810660,1023912200,182148500,468209060
4058465357,507001498,32,43.1,33.4116,2.2933,0.0052,1285.314,120.188,332.0228,7,365.7192,133763.73,353923.12,0,30711,2080.145,6285.5977,0,702,40.5072,111.3945,-246880180,1127079300,177664700,420769060
4058550781,507968887,314.7,325.1,318.0818,3.2719,0.0093,8.0892,1.4847,3.0878,4,166.9251,4156.614,502177.62,0,152,26,52.5167,8,47,30.1818,13.2653,-181229340,626838300,54313796,274764380
4058576197,507630614,76.8,79.3,78.0043,0.8312,0.0053,921.8232,241.2884,403.381,7,394.9779,73245.586,476241.12,0,17826,3632.3914,6180.9927,0,329,45.3913,83.4968,-144049900,1128248400,258022620,532742700
4058583314,508423123,159.5,161.3,160.2833,0.6841,0.0054,6.0289,2.0176,2.8312,3,219.1215,5618.4766,689723.5,0,261,58,96.033,1,230,43,83.7775,-110004656,603758600,151133420,289659680
4058546109,507091770,4.1,5.9,4.983,0.6164,0.0052,295.2834,83.5145,132.9104,6,1001.2638,55527.9,188007.5,0,4922,994.4151,1610.8206,0,135,9.6792,25.2913,-129985336,1026640900,224062110,498486880
4058503442,507509850,68.2,94.8,75.7035,6.2604,0.0053,12.9017,1.7478,4.2089,4,274.7244,6212.4946,247007.66,0,573,62.2069,151.3717,0,379,57.4828,80.551,-245662420,609713700,-7875266,264980590
4058485388,508604480,244.3,254.6,247.2125,2.9648,0.0054,260.4493,81.2733,119.6878,6,370.7595,38908.11,724376.8,0,12746,2316,3826.337,3,1270,174.875,326.952,-255700980,992995200,226086030,505136260
4058557790,508039386,85.4,88.1,86.7273,1.0296,0.0053,656.6323,179.0792,292.4067,6,224.8992,71059.86,542434.25,0,13165,2818.4546,4741.2334,2,316,48,92.6371,-151100990,1091411000,250981920,504727940
4058568515,507176838,29.8,32,30.8208,0.7217,0.0052,6415.1733,1778.1943,2798.8335,8,603.9086,257804.83,179996.22,0,105559,28670.166,44878.36,0,991,129.2083,238.3852,-154541500,1313684400,291115520,636934800
4058464700,507880612,34.3,40.3,37.3293,1.6478,0.0053,4261.094,727.2311,1602.7065,8,506.1993,233432.97,291805.75,0,108316,13295.829,30757.984,1,1166,101.7317,275.2269,-184419680,1280866700,138813870,505639620
4058486431,508677878,50.2,55.5,52.182,1.4452,0.0054,2830.662,677.6494,1205.915,7,867.2988,159808.7,405764.8,0,68631,11340.18,20699.795,1,893,90.66,183.6462,-194865420,1232799700,210497950,562779300
