"id","subc_id","bio1_min","bio1_max","bio1_mean","bio1_sd","bio12_min","bio12_max","bio12_mean","bio12_sd","bio15_min","bio15_max","bio15_mean","bio15_sd"
4058580050,508767592,8.25,8.55,8.2629,0.0582,696.3,711.9,708.7855,2.4303,11.2,11.3,11.2839,0.0368
4058491101,508655547,8.65,8.85,8.83,0.06,680.5,690.3,681.48,2.94,12.2,12.4,12.22,0.06
4058486109,508174453,8.15,8.55,8.45,0.1325,718.5,735.6,726.2568,7.0943,14.3,14.3,14.3,0
4058624438,506562816,8.95,8.95,8.95,0,824.6,824.6,824.6,0,15.3,15.3,15.3,0
4058479639,506594631,9.05,9.15,9.0955,0.0498,840.5,841.5,840.9545,0.4979,15.1,15.1,15.1,0
4058633492,506438313,8.75,8.75,8.75,0,850.3,857.2,853.6119,1.2504,15.3,15.3,15.3,0
4058572544,506430251,8.85,8.85,8.85,0,895.7,901.8,900.2917,1.9063,15.8,15.9,15.8778,0.0416
4058572533,506455819,8.85,8.95,8.9367,0.034,875.6,878.4,876.9333,1.3425,15.6,15.6,15.6,0
4058572447,506314046,8.85,8.85,8.85,0,762,767,764.6337,2.0271,16.7,16.7,16.7,0
4058479582,506328402,9.05,9.15,9.0907,0.0491,741.5,749.5,746.2407,3.9308,16.4,16.4,16.4,0
4058478586,506348330,8.85,8.95,8.91,0.049,736,749.1,741.24,6.4177,17.7,17.7,17.7,0
4058633425,506345803,8.95,9.15,9.0393,0.0419,702.2,736,718.0907,7.7783,17.6,17.8,17.736,0.0603
4058633622,506425890,8.85,8.95,8.9477,0.0149,740.3,748.5,743.5409,0.894,17.1,17.2,17.1023,0.0149
4058479820,506598133,9.05,9.05,9.05,0,753.4,759.5,756.0667,0.6592,14.8,14.9,14.8967,0.018
4058633695,506598133,9.05,9.05,9.05,0,753.4,759.5,756.0667,0.6592,14.8,14.9,14.8967,0.018
4058624571,506314760,9.15,9.25,9.2192,0.0462,667.7,670.7,669.2423,1.0997,18.9,19,18.9538,0.0499
4058622428,506413835,8.95,8.95,8.95,0,685.5,687.6,687.18,0.84,18.4,18.4,18.4,0
4058530465,506831319,9.15,9.15,9.15,0,639.1,639.1,639.1,0,16.7,16.7,16.7,0
4058573457,506826096,9.15,9.15,9.15,0,645,645,645,0,16.7,16.7,16.7,0
4058530512,506819002,9.05,9.05,9.05,0,648.6,649.8,649.2,0.6,16.7,16.7,16.7,0
4058608483,506850770,9.15,9.25,9.2077,0.0494,634.6,637.1,635.4769,1.0334,16.6,16.7,16.6077,0.0266
4058592569,507444172,9.55,9.65,9.6405,0.0294,563.1,564.9,563.8238,0.8094,20.4,20.5,20.4571,0.0495
4058583118,508539636,8.65,9.05,8.954,0.0871,663.7,671.6,667.048,2.0142,24.4,24.5,24.468,0.0466
4058575229,508813976,8.15,8.15,8.15,0,679.4,679.4,679.4,0,22.6,22.6,22.6,0
4058619543,508267736,9.45,9.45,9.45,0,530.9,539.2,532.4962,3.2711,20.7,20.7,20.7,0
4058603549,507883679,8.95,9.05,8.9711,0.0408,535.3,536.1,535.9316,0.3261,19.2,19.3,19.2211,0.0408
4058603530,507806777,9.05,9.05,9.05,0,577.5,583.8,580.7948,1.7385,17.9,18.2,18.1362,0.1062
4058506528,508122829,8.95,8.95,8.95,0,539.3,543.2,542.6429,1.3647,15.2,15.3,15.2857,0.035
4058628090,508373998,9.25,9.25,9.25,0,566.5,567.8,567.7103,0.3294,22.4,22.4,22.4,0
4058575116,508484663,9.15,9.15,9.15,0,568.6,574.6,570.9225,1.94,22.9,23.2,23.08,0.1005
4058634924,508236277,9.25,9.25,9.25,0,569.9,578,575.975,3.5074,17.8,17.9,17.825,0.0433
4058635049,509004520,7.95,8.35,8.2624,0.1341,955.9,992.2,964.4287,10.3567,13.6,13.7,13.6233,0.0422
4058628028,508831543,7.95,8.55,8.1385,0.2439,726,746.8,739.9423,6.3513,15.9,16.3,16.0923,0.1174
4058486114,508559759,8.65,8.95,8.9354,0.0646,588,602.2,589.3659,2.9628,26.6,26.7,26.6049,0.0215
