"id","subc_id","bio1_min","bio1_max","bio1_mean","bio1_sd","bio12_min","bio12_max","bio12_mean","bio12_sd","bio15_min","bio15_max","bio15_mean","bio15_sd"
4058543028,506360643,8.75,8.75,8.75,0,851.9,853.8,853.387,0.7837,16.8,16.8,16.8,0
4058471723,506850770,9.15,9.25,9.2077,0.0494,634.6,637.1,635.4769,1.0334,16.6,16.7,16.6077,0.0266
4058454745,509008846,7.75,7.75,7.75,0,1068.8,1089.7,1088.7913,4.2622,13.4,13.6,13.5913,0.0408
4058456652,508235432,10.45,10.45,10.45,0,803.6,809.5,808.6366,2.0853,11.5,11.6,11.5146,0.0353
4058467782,507829558,9.65,9.75,9.6848,0.0476,610.9,611.6,611.1435,0.3334,22.1,22.2,22.1348,0.0476
4058468800,507879448,9.65,9.65,9.65,0,613.1,614.5,613.7774,0.6996,22.3,22.3,22.3,0
4058597739,507769127,9.75,9.75,9.75,0,583.8,585.3,584.2792,0.3077,20.7,21,20.8661,0.0548
4058459747,507972284,10.35,10.35,10.35,0,817.9,824,821.9891,2.0117,12.3,12.4,12.3522,0.05
4058456736,508039112,10.35,10.35,10.35,0,816.8,816.8,816.8,0,12,12,12,0
4058546655,508192818,10.45,10.45,10.45,0,812.7,812.7,812.7,0,11.5,11.5,11.5,0
4058550699,508073597,10.35,10.35,10.35,0,821,821,821,0,11.8,11.8,11.8,0
4058589745,508021435,10.35,10.35,10.35,0,810,810.1,810.05,0.05,12.1,12.1,12.1,0
4058459701,507793618,10.25,10.25,10.25,0,845.3,848.6,847.7286,1.018,13.2,13.2,13.2,0
4058622989,507166944,9.75,9.75,9.75,0,864.5,865.5,865.1667,0.4714,15.2,15.2,15.2,0
4058589703,507652122,9.95,9.95,9.95,0,872,872,872,0,13.2,13.2,13.2,0
4058503718,507845721,10.25,10.25,10.25,0,830.4,830.6,830.5655,0.0574,13.4,13.5,13.4052,0.0221
4058483897,509735043,10.25,10.25,10.25,0,844.4,844.4,844.4,0,14.3,14.3,14.3,0
4058589629,507805949,10.05,10.05,10.05,0,831.1,835.5,832.7571,0.9772,12.8,12.8,12.8,0
4058459683,507804526,10.05,10.15,10.0745,0.043,834.7,837.7,835.4358,1.2908,12.8,12.8,12.8,0
4058546730,508157624,9.95,9.95,9.95,0,1037.1,1037.1,1037.1,0,13.1,13.1,13.1,0
4058471668,506981818,9.15,9.15,9.15,0,576.3,585.1,581.0867,3.1283,19.2,19.3,19.2533,0.0499
4058597801,508089405,9.65,9.65,9.65,0,647.8,648,647.8643,0.0934,20.1,20.2,20.1321,0.0467
4058493607,509206402,10.35,10.35,10.35,0,701.1,701.3,701.18,0.098,11.2,11.3,11.26,0.049
4058459645,508253321,8.85,9.15,9.1125,0.0992,1254.5,1262.8,1261.7625,2.745,14.4,14.4,14.4,0
4058456743,508179361,9.05,9.05,9.05,0,1144.2,1144.2,1144.2,0,11.7,11.7,11.7,0
4058546659,507946578,10.05,10.05,10.05,0,874.8,874.8,874.8,0,11.9,11.9,11.9,0
4058550642,507694897,9.95,9.95,9.95,0,826.1,826.1,826.1,0,13.4,13.4,13.4,0
4058456661,507743430,9.95,9.95,9.95,0,847,847.7,847.4837,0.3057,13,13.1,13.0651,0.0477
4058546758,507556822,9.85,9.85,9.85,0,828.8,831,829.35,0.9526,13.3,13.3,13.3,0
4058609452,508003486,9.45,9.55,9.5379,0.0326,673.8,677.6,674.2606,1.2402,23.7,23.7,23.7,0
4058518417,508131989,9.45,9.55,9.4925,0.0494,683.1,685.8,684.1779,1.1295,22.5,22.6,22.5159,0.0366
4058609425,508131296,9.45,9.55,9.4567,0.0249,683.3,683.9,683.86,0.1497,22.5,22.5,22.5,0
4058517444,508240030,9.35,9.35,9.35,0,696.5,698.7,697.7018,0.7057,22.7,22.7,22.7,0
4058518445,508074580,9.45,9.45,9.45,0,687,688,687.9063,0.2915,23.5,23.6,23.5094,0.0291
4058566443,508049169,9.65,9.65,9.65,0,666,666,666,0,22.4,22.4,22.4,0
4058557796,507906454,9.75,9.75,9.75,0,592.2,594.8,592.96,0.6936,21.1,21.2,21.1422,0.0494
4058557684,507089902,9.45,9.45,9.45,0,526.8,534.5,529.5043,1.8301,22.1,22.3,22.2435,0.0577
4058471711,507070453,9.45,9.45,9.45,0,527.4,530.3,529.0208,0.947,23.3,23.6,23.4717,0.0924
4058597659,507155014,9.45,9.45,9.45,0,533.8,538,535.7071,0.9691,22.4,22.6,22.4429,0.0821
4058467735,506957593,9.25,9.35,9.3129,0.0483,540.8,546.8,543.1216,0.7302,23,23.1,23.0979,0.0142
4058597793,506819641,9.15,9.15,9.15,0,534.8,534.8,534.8,0,22.9,22.9,22.9,0
