"id","subc_id","awcts_min","awcts_max","awcts_mean","awcts_sd","clyppt_min","clyppt_max","clyppt_mean","clyppt_sd","sndppt_min","sndppt_max","sndppt_mean","sndppt_sd","sltppt_min","sltppt_max","sltppt_mean","sltppt_sd","wwp_min","wwp_max","wwp_mean","wwp_sd","orcdrc_min","orcdrc_max","orcdrc_mean","orcdrc_sd","phihox_min","phihox_max","phihox_mean","phihox_sd","bldfie_min","bldfie_max","bldfie_mean","bldfie_sd","cecsol_min","cecsol_max","cecsol_mean","cecsol_sd","crfvol_min","crfvol_max","crfvol_mean","crfvol_sd","acdwrb_min","acdwrb_max","acdwrb_mean","acdwrb_sd","bdricm_min","bdricm_max","bdricm_mean","bdricm_sd","bdrlog_min","bdrlog_max","bdrlog_mean","bdrlog_sd","histpr_min","histpr_max","histpr_mean","histpr_sd","slgwrb_min","slgwrb_max","slgwrb_mean","slgwrb_sd"
4058538795,506440890,38,39,38.0417,0.1998,7,8,7.7917,0.4061,78,82,80.7917,1.1173,9,14,10.8333,1.5986,9,10,9.4167,0.493,36,50,41.6667,2.9814,56,57,56.7083,0.4545,1467,1498,1493.1667,6.5933,8,10,9.375,0.5637,7,8,7.0417,0.1998,1,1,1,0,200,200,200,0,0,3,0.6667,0.8975,6,10,8.375,0.857,0,0,0,0
4058522584,508466403,39,39,39,0,20,21,20.5,0.5,30,32,30.8333,0.8975,48,49,48.5,0.5,21,21,21,0,8,9,8.3333,0.4714,63,63,63,0,1516,1523,1521.5,2.5,14,15,14.6667,0.4714,13,13,13,0,1,1,1,0,200,200,200,0,7,9,7.3333,0.7454,3,4,3.5,0.5,0,0,0,0
4058488865,509739120,39,40,39.2474,0.4315,26,29,27.2062,1.0045,25,35,29.4845,2.6753,40,47,43.134,2.3796,21,23,22.0103,0.2684,6,11,8.2062,1.3389,64,68,66.567,1.2995,1515,1537,1523.2474,4.9887,13,16,15.0928,0.7744,13,17,14.6495,1.3625,0,1,0.2062,0.4046,200,200,200,0,6,11,7.8557,1.3921,0,2,0.8454,0.5624,0,0,0,0
4058570924,508638245,37,39,38.35,0.5723,14,19,15.825,1.4813,43,50,46,2.4799,36,40,37.85,1.4414,19,20,19.35,0.477,14,37,27.725,6.4807,50,55,51.85,1.256,1477,1532,1497.425,11.8867,11,15,12.025,1.294,18,29,23.45,3.8791,2,3,2.2,0.4,195,200,199.5,1.5,7,32,21.35,8.9038,0,3,1.1,1.0677,0,0,0,0
4058604956,508333991,40,42,40.6133,0.539,17,19,18.04,0.4454,39,43,41.3067,0.9657,40,43,40.76,0.7455,20,21,20.4933,0.5,15,34,20.6533,3.139,49,54,51.1867,1.0917,1413,1460,1435.6667,14.064,11,13,11.36,0.5327,20,26,22.7333,1.9619,2,3,2.4933,0.5,200,200,200,0,16,26,21.0667,2.6043,0,2,0.96,0.3441,0,0,0,0
4058574257,508876703,38,39,38.5098,0.4999,16,21,18.6863,0.98,34,43,40.451,1.9535,39,45,41,1.2207,20,22,20.6471,0.5173,11,21,13.7647,2.4301,54,57,55.0784,0.6815,1498,1526,1510.9608,8.711,13,15,14.549,0.5355,15,20,18.3137,1.146,1,2,1.9804,0.1386,200,200,200,0,9,22,17.5098,3.1272,0,3,1.2157,0.9963,0,0,0,0
4058590088,507357940,39,40,39.6087,0.488,12,13,12.913,0.2818,51,54,51.913,1.1763,33,36,35.1739,1.0489,16,17,16.913,0.2818,7,14,10.3043,2.0094,60,63,61.7391,1.1119,1460,1493,1473.174,11.8125,11,12,11.3913,0.488,7,9,7.8261,0.7011,1,1,1,0,200,200,200,0,4,12,7.913,3.2825,6,10,8.3913,1.2065,0,0,0,0
4058467830,507689647,38,39,38.1047,0.3061,8,14,10.7907,1.7261,64,72,68.9535,2.3914,18,22,20.4302,1.4187,11,15,12.4535,1.096,7,15,8.7093,1.6696,61,68,63.5349,2.1765,1500,1522,1511.721,6.0051,8,17,10.9302,2.5371,9,11,9.7791,0.7533,1,1,1,0,200,200,200,0,1,9,5.1744,2.0976,0,3,1.7093,0.8193,0,0,0,0
4058560090,506465118,38,39,38.3056,0.4606,15,18,16.3889,1.0077,51,59,55.6667,2.9059,24,33,27.4722,2.9485,15,17,16.1667,0.7265,28,41,33.7778,4.1774,63,66,64.6389,0.8867,1508,1523,1518.1945,4.6417,9,11,10.0833,0.7217,8,9,8.6389,0.4803,1,1,1,0,200,200,200,0,13,20,16.0833,2.3965,4,7,4.5556,0.6849,0,0,0,0
4058577696,506997521,40,43,41.5231,0.7464,18,22,20.4538,1.1904,47,59,54.1462,3.3261,21,32,25.5385,2.5635,18,21,19.8231,0.7693,10,35,20.8154,6.816,63,71,66.3462,2.2962,1385,1473,1437.0846,25.9022,19,26,22.4308,1.5239,7,10,7.9846,0.8411,0,1,0.7308,0.4436,200,200,200,0,0,5,1.5692,1.4829,3,7,5.6923,1.129,0,0,0,0
